ID	Title	Keywords	Orders	ground_text
46	奥肯男士商务全天丝莱赛尔纤维纯黑色休闲裤混纺天丝黑色天然丝	混纺;天丝;黑色;天然丝	2;3;1;0	商务男士黑色休闲裤,精选优质黑色环保天然丝,舒适自然,男式天丝混纺超舒适面料款百搭黑色工作装休闲裤,精选优质辅料展现之ykk铜拉链,经久耐用裤脚
47	超大裙摆海边雪纺连衣裙波西米亚收腰沙滩裙长裙大裙摆丝收腰	大裙摆;丝;收腰	0;1;2	波西米亚风的一款连衣裙,舒适的款式,休闲优雅,加上飘逸的大裙摆设计,赋予着一丝女神气质,尽显大气场,同时收腰的设计,凸显蛮腰,展现苗条好身材。
48	秀亦秋新款线条装饰修身显瘦牛仔裤包臀腰松紧小脚裤魔力深色搭配褪色	魔力;深色;搭配;褪色	1;0;3;2	简洁的深色单品,真是时尚又百搭,魔力深色永不会褪色的时尚。将深色为主调的搭配极致。《欧范小姐》:时尚编辑simple
49	真丝乔其空调衫丝绸九分袖上衣春夏百搭米色水绿蓝多色开衫丝绸高端真丝吸收	丝绸;高端;真丝;吸收	2;1;0;3	维欧艾(voa)是一个专注欧美风的真丝女装品牌,2007年诞生于杭州西子湖畔,连续多年真丝女装销量领先,采用高端6a级丝绸,天然环保的植物染料,是新生代丝绸的开创品牌。品牌主张是:“宠爱自己,享受当下”,让更多女人身着绫罗绸缎是维欧艾(voa)的目标,海纳百川吸收东西方文化的精髓,创造出适合这个时代当下的时尚真丝女装是维欧艾(voa)的追求。
50	米哈斯新款秋装中袖圆领t恤露背镂空打底镂空弹力黑色弹性	镂空;弹力;黑色;弹性	0;2;1;3	背部镂空黑色百搭,柔软富有弹力的打底衫,柔美大方,弹性十足,经过水洗和磨毛工艺,手感柔软舒适
51	洪茹女士皮衣中长款新款春秋欧美外套女装皮风衣机车皮夹克修身曲线搭配	修身;曲线;搭配	0;1;2	修身的皮夹克让身形曲线完美彰显,面料光泽度十足,搭配个性拉链造型,机车感尽显,摇滚不羁。
52	衣服男t恤龙图魔兽游戏主题日系涂鸦体恤打底衫男士上衣高端印花潮人双头	高端;印花;潮人;双头	3;1;2;0	双头魔兽与骷髅人的主题印花设计,画面富有神秘张扬气息,尽显潮人不羁叛逆品味;运用高端立体感印花工艺,带来极具冲击力视觉效果,抢眼十足。
53	素缕夏装女装文艺圆领宽松精致绣花亚麻连衣裙女嬿绣花圆领纯色亚麻	绣花;圆领;纯色;亚麻	2;3;1;0	夏装纯色刺绣亚麻连衣裙,经典圆领,简单安静,腰部的花瓣绣花,文艺复古,尽显古典优雅范。
54	爱玛茵可新款欧美纯色包臀短裙百搭裙子半身裙秋冬流苏女单色流苏大包臀	单色;流苏;大;包臀	0;3;1;2	单色的短裙,包臀设计,简洁干练,展现知性通勤风,而周身的流苏拼接,若隐若现的效果,既性感又飘逸,极大的展现出欧美时尚风
55	chez-moi/诗慕华纯山羊绒加厚纯色羊绒衫女士翻领开衫毛衣针织衫钢铁绒毛羊绒细	钢铁;绒毛;羊绒;细	3;1;0;2	以手工梳取山羊脖颈的细绒毛,收集不易,珍贵源于本身,讲求“轻松,优雅”的穿着体验,冲破钢铁高楼的禁锢,感受这抹柔软的羊绒情怀,呼吸间释放心灵压力,回归本质生活。
56	型马纯棉牛仔外套男青年韩版修身翻领休闲夹克春季复古上衣潮牛仔高档立体剪裁	牛仔;高档;立体;剪裁	0;2;3;1	型马复古牛仔夹克外套,立体剪裁设计,凸显男性阳刚之气,高档的复古水洗风格,时尚经典。
57	-原创设计个性短袖t恤纯棉宽松创意单车黑白灰蓝【游】男款丝廓形印花图案	丝;廓形;印花;图案	1;2;3;0	极简廓形辅以小清新的印花图案,在炎热夏日,带来一丝清新感,潮流百搭的廓形,可谓是人手必备的潮搭单品。
58	紫叶紫春秋风衣女新款韩版大码女装修身显瘦中长款英伦风外套仿版高端品质	仿版;高端;品质	1;0;2	穿着更舒适。紫叶紫追求的都是高端大气上档次,致力打造出一种低调奢华有内涵的风格。虽然仿版比较多,但是仍然影响不了紫叶紫高端追求的品质。亲们在
59	禾苑早春新款女装气质修身韩版显瘦小清新两件套春装连衣裙女显瘦小电流条纹不规则	显瘦小;电流;条纹;不规则	0;3;2;1	韩版显瘦小清新两件套连衣裙,身上不规则条纹,像电流,让每个人都被电到;像火苗,让每个人都有炙热感,那火苗也好似能燃烧她身上多余的赘肉,展现修
60	劲霸夹克秋装新款时尚棒球领修身韩版纯色商务男装休闲茄克外套搭配减龄立领纯色	搭配;减龄;立领;纯色	2;3;1;0	各个年龄段通吃的一款夹克,立领设计让气质更加的精致,纯色风格有活力更加的减龄,商务人士搭配西裤皮鞋完全没有问题,休闲场合可以搭配运动裤休闲裤。
61	卡玛秋装女装时尚复古百搭休闲格子衬衫女长袖上衣镶嵌有型品质	镶嵌;有型;品质	0;1;2	优质高支纱精梳棉面料,手感柔软,穿着舒适。领尖、前胸袋处镶嵌优质铆钉,酷似有型。全身经典格对格完美拼接,体现品质感,经典传承。《欧范小姐》:
62	纯羊绒衫女多色保暖知性圆领半高领套头针织衫打底秋冬毛衣皮肤亲肤耐穿	皮肤;亲肤;耐穿	2;1;0	非常的贴心考究,穿着舒适,不挑身材不挑人,新颖的款式,靓丽耐穿,让你穿着无束缚感。亲肤舒适的面料,对皮肤无刺激,色泽清晰稳定,不容易掉色。简单而唯美,简约又俏皮。,给人一种清新脱俗的感觉,夏季时尚韩版休闲款式设计理念打造而成,宽松气质女装,气质展现出来更有层次感。
63	./【惠】圣迪奥休闲做旧工装中裤褶皱磨白做旧金属	褶皱;磨白;做旧;金属	2;1;0;3	做旧的工装短裤保留其硬朗的军人风格,磨白褶皱赋予裤子斑驳的时代感;金属装饰与工装裤子相呼应,打破单调;口袋设计是工装一贯的作风,既凸显出层次感又方便物品放置。
64	海宁秋冬新款狐狸毛皮草外套女短款韩版修身显瘦圆领大衣特价粘毛品质狐狸毛	粘毛;品质;狐狸毛	1;0;2	皮草因其高贵的品质一直以来都是名媛贵妇们的最爱,我们这款辛蔓拉皮草外套
65	摩安珂欧美拼接小西装外套女修身有型版型立体	修身;有型;版型;立体	0;2;3;1	修身的小西装版型立体有型上身后瞬间彰显气场,两侧对称的拉链设计装饰性强,朋克味十足。
66	[换季清货]秋冬季时尚休闲长袖衬衫男士潮流修身欧美新款衬衣细小有型条纹尖领	细小;有型;条纹;尖领	3;1;0;2	简约尖领,干净精致,时尚有型。后肩细小条纹拼接,洋溢复古小清新气质。英伦学院风格经典延续一丝不苟。
67	衣香芳苑秋装外套韩版条纹针织衫女开衫中长款早秋长袖黑白收腰显瘦	黑白;收腰;显瘦	0;1;2	款式简单大方,时尚优雅甜美,经典黑白拼接,韩版时尚,收腰显瘦,很受都式女性的喜欢。
68	浪漫宣言秋季新品女装时尚百搭网纱长袖打底衫翻领单件元素豹纹	翻领;单件;元素;豹纹	3;2;1;0	豹纹元素在时尚界有着举足轻重的地位,为醒目个性的单件注入活力,豹纹设计的翻领,活泼又不失干练
69	春夏新款女雪纺双层撞色领短袖衬衫翻领撞色黑粉白色	翻领;撞色;黑;粉白色	3;2;1;0	粉白色与黑领撞色,经典又不失简约,重叠翻领的设计是焦点所在,别致时髦。
70	/杰胜夏装新款休闲裤直筒棉长裤奢侈品男装裤子薄款男裤高端奢侈品质剪裁	高端;奢侈;品质;剪裁	1;3;2;0	zsnoi(杰胜),国内时尚轻奢侈男装品牌,意大利名师精心设计、面料奢华、剪裁严谨、品质优雅,为高端精英男士度身打造,开创智族人群轻奢侈时代新风潮
71	/达克沃潮牌秋款流行男裤时尚简约铅笔裤男士休闲长裤搭配美观功能性个人	搭配;美观;功能性;个人	2;1;0;3	口袋设计,具有功能性和美观大方,保障物品完全。腰部纽扣设计,让你在激烈运动中也能轻易对待。裤脚独特设计,即使简单的搭配亦能突出个人品味。
72	巧俪侬经典毛针织修身中裙秋冬羊毛呢半裙包臀裙厚裙轻柔纯色透气	轻柔;纯色;透气	1;0;2	纯色的设计,彰显简单纯粹的时尚品味和态度,百搭各类风格的上衣和鞋型,成为出街备受瞩目的焦点,轻柔透气的材质,温暖舒适,贴心呵护娇嫩肌肤。
73	针织羊毛连衣裙长袖秋冬英伦格子圆领修身显瘦女格子修身美观版型	格子;修身;美观;版型	1;3;2;0	简洁修身的版型,精致美观。优雅的格子散发女性气场。成熟魅力的设计,腰部衔接了上下相拼的手法在款式造型上更加时尚并富有女人味。
74	蓝若水加肥加大码女装胖mm修身打底蕾丝裙长袖显瘦连衣裙小瘦蕾丝甜	小;瘦;蕾丝;甜	3;2;1;0	气质甜美的蕾丝拼接连衣裙,后背特意设计的瘦背板型,拉链在后面。袖口增添小蕾丝点缀,甜到加零一。
75	玖姿女装时尚短袖v领中长款显瘦针织衫罗纹短袖下摆v领	罗纹;短袖;下摆;v领	3;1;0;2	简洁百搭的开衫v领,经典简约流畅的线条,衬托出一份优雅和大方之美,简约的短袖造型,线条流畅走线工整,呈现完美的细节体验,紧密的罗纹下摆设计,精致走边在细节处体验高品质享受。
76	摩名帝凡斯秋装新款潮磨破水洗修身小脚牛仔裤男裤子直筒搭配基本款做旧眼球	搭配;基本款;做旧;眼球	2;1;3;0	水洗做旧牛仔裤,在基本款的造型下加入细节强调设计,让简洁款型更吸引眼球,做旧工艺更显时尚自然,可以搭配任意潮装穿着。
77	女装链条短款短铆钉短外套女士皮衣拉链纽扣领长袖小外套立体剪裁收腰	立体;剪裁;收腰	0;1;2	简约大方,尽显欧美范,时尚大方的袖口设计,金属感的拉链让妩媚的小女人多了一份中性美;独特立体剪裁,多裁片拼接,收腰设计,手工缝制,背部上身效
78	布莱顿限量版男士西裤新款小脚修身羊毛正装男裤商务长裤修身灰色搭配大咖	修身;灰色;搭配;大咖	1;0;2;3	灰色修身西装西裤,挺括干练,给人绅士般的优雅和精致。千万不要搭配球鞋穿着,即便你是潮流大咖也需要注意。
79	米个原创设计师私定制品牌灯笼摆呢大衣中长款毛呢大衣长度手提搭配	长度;手提;搭配	2;0;1	为了使整体的色彩上更加一致,而且这件衣服的颜色非常柔和饱满,即使一身的颜色都与之相搭配,也不会过于繁杂而没有重点。反而体现出甜美清新气质,所以可以穿一双同样色调的鞋子,重要的是根的长度要和你自己的身高合适,最后再手提一款靓丽的包包,扮靓整体穿搭。
80	颜域品牌女装秋冬新款欧美纯色中长款翻领羊毛呢外套保暖大衣有型羊毛保暖性垂坠	有型;羊毛;保暖性;垂坠	1;2;3;0	羊毛面料具有柔软和保暖性较强的优点,其毛质柔软,手感舒适;其次垂坠性能好,自然挺括,穿着有型,同时因为羊毛具天然卷曲,可以形成许多不流动的空气区间作为屏障,故而增加羊毛衣物的保暖性。冬季不惧寒冷。
81	新款时尚修身英伦休闲西装男士西服韩版双排扣橄榄绿塑身立体	橄榄绿;塑身;立体	0;1;2	visome珍惜发售西服系列,顶级面料,极致工艺,完美细节,独一无二,限量发售5件!少将风采,和平与希望的橄榄绿,3d塑身裁剪,立体浮雕金属扣凸显男性
82	秋冬羽绒马甲女款连帽新款白色貉子毛领马夹短款清爽无袖	短款;清爽;无袖	2;1;0	貉子毛领,既奢华又温暖,无袖设计,清爽百搭,短款设计,注入温柔味道,典雅浪漫。
83	红色加厚羊绒大衣女中长款秋冬新款斗篷廓形毛呢外套女装高端搭配保暖亲肤小	搭配;保暖;亲肤;小	1;0;2;3	厚实的呢大衣穿着舒适保暖,里面随意搭配一件亲肤的针织衫,简约又干练,下身一条简约的小黑裤,穿着更显随性,一双简洁的小靴子,不仅修饰了腿部线条,而且也保证了温暖,系上一条,满满英伦风的围巾,超级衬气质。
84	夏装新款原创棉麻t恤女短款文艺素雅大码显瘦短袖t恤开合束缚深v领	开合;束缚;深v领	0;2;1	复古风纪扣开合,简单大方的设计,深v领口更显气质,诠释出一种大胆而不被束缚的现代感。
85	新男装冬装潮流休闲纯棉宽松直筒低裆九分裤毛呢搭配图案	毛呢;搭配;图案	0;1;2	毛呢拼接细节让简约裤装散发个性魅力。时尚百搭,与任意上装搭配皆适宜,搭配图案衬衫或者外套,时髦帅气。将裤腿稍稍卷起穿着,能让造型更精神利落。
